Descrição,Not. autor
"A. Barranco, Juan, 1947-",A635
"A. Fernandez, José",
"A. López, Miguel",
"A. Sallaberry, Carlos",
"Aaberg, Gunhild, 1939-",A111
"Aagaard-Mogensen, Lars, 1944-",A111
"Aalst, Marinus Van, 1947-",A112
"Aalto, Alvar, 1898-1976",A112
"Aas, Alf-Jorgen, 1915-1981",A115
"Abad Vidal, Julio César, 1975-",A116
"Abad, Antoni, 1956-",A116
"Abad, Antonio, 1978-",Sd474a
"Abad, Maria Jesus, 1955-",A116
"Abad, Pacita, 1946-2004",A116
"Abad, Pio",
"Abadía Morales, Guillermo, 1912-2010",A116
"Abadie, Daniel, 1945",A116
"Abaka, Edmund",
"Abakanowicz, Magdalena, 1930-2017",A116
"Abal Oliú, Diego, 1950-",A117
"Abal, Tomas, 1922-1986",A117
"Aballí, Ignasi, 1958-",A117
"Abate, 1875-1953",
"Abate, Claudio, 1943-",A119
"Abate, Nicolò Dell', 1509-1571",A119
"Abaurre, Fabiana",
"Abbal, André, 1876-1953",A123
"Abbate, Francesco, 1939-",A123
"Abbati, Giuseppe, 1836-1868",A123
"Abbondanza, Jorge, 1936-2020",A125
"Abboni, Fulvio",A125
"Abbott, Berenice, 1898-1991",A131
"Abbott, John",
"Abbott, Jonathas, 1796-1868",A131
"Abboud, P. G.",
"Abboud, Pierre",
"Abbozzo, Francesca, 1949-",A134
"Abbrescia, Pino",A134
"Abbt, Theres, 1960-",A134
"Abdalla, Antonio Carlos Suster",A135
"Abdel-Ghafour, Anwar",
"Abdo, Carmita, 1950",A135
"Abdón, santo, -254",A135
"Abdou, Isra, 1995-",
"Abe, Mayumi, 1958-",A138
"Abe, Megumi, 1963-",A138
"Abe, Nobuo, 1948-",A138
"Abe, Yoshio, 1932-2007",A138
"Abeele, Lieven Van Den, 1957-",A138
"Abeele, Maarten Vanden, 1970-",
"Abegg, Gilles, [19--]-",A138
"Abel, Lionel, 1910-2001",A139
"Abel, Richard, 1941-",A139a
"Abel, Robert H., 1941-2017",A139
"Abel, Ulf, 1931-",A139
"Abelovský, Ján, 1950-",A141
"Abels, Jean, 1895-1986",A141
"Abel-Vidor, Suzanne",
"Abend, Harry, 1937-2021",A142
"Aberlach, Joaquim Jean",
"Abetz, Otto",
"Abhramo, Radha",
"Abi-Acl, Beatriz",A148
"Abichandani, Jaishri, 1969-",A148
"Abidin, Adel, 1973-",A148
"Abidine, Dino, 1913-1993/1994",
"Abijaude, Hend Curi",
